task_id,component_index,class_name,slot,db_status,attempt_count,attempts,error_code,started_at,ended_at,actual_grasp_success,review_note
TASK-20260908T073206626754Z,0,분유,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:32:16.136522+00:00', 'ended_at': '2026-09-08T07:33:05.815088+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:32:16.136,2026-09-08 07:33:05.815,FALSE,파지실패
TASK-20260908T073716715854Z,0,분유,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:37:41.590962+00:00', 'ended_at': '2026-09-08T07:38:30.918154+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:37:41.590,2026-09-08 07:38:30.918,TRUE,
TASK-20260908T074316093491Z,0,분유,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:43:32.820521+00:00', 'ended_at': '2026-09-08T07:44:23.630042+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:43:32.820,2026-09-08 07:44:23.630,TRUE,
TASK-20260908T063104191011Z,0,샴푸리필,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:31:14.949088+00:00', 'ended_at': '2026-09-08T06:32:03.190024+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:31:14.949,2026-09-08 06:32:03.190,TRUE,파지 후 실패
TASK-20260908T063535978796Z,0,샴푸리필,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:36:09.094749+00:00', 'ended_at': '2026-09-08T06:36:59.197002+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:36:09.094,2026-09-08 06:36:59.197,TRUE,
TASK-20260908T063921355753Z,0,샴푸리필,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:39:50.006046+00:00', 'ended_at': '2026-09-08T06:40:41.197200+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:39:50.006,2026-09-08 06:40:41.197,TRUE,
TASK-20260908T064526000816Z,3,샴푸리필,slot_4,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:48:23.207077+00:00', 'ended_at': '2026-09-08T06:49:09.902171+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:48:23.207,2026-09-08 06:49:09.902,TRUE,
TASK-20260908T070429730427Z,3,샴푸리필,slot_4,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:06:58.121245+00:00', 'ended_at': '2026-09-08T07:07:43.928260+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:06:58.121,2026-09-08 07:07:43.928,TRUE,
TASK-20260908T070930692553Z,3,샴푸리필,slot_4,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:11:39.475012+00:00', 'ended_at': '2026-09-08T07:12:27.419025+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:11:39.475,2026-09-08 07:12:27.419,TRUE,
TASK-20260908T071342411900Z,3,샴푸리필,slot_4,FAILED,2,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T07:16:39.117094+00:00', 'ended_at': '2026-09-08T07:16:46.352346+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'stale', 'detail': '좌표 획득 실패'}, {'attempt_no': 2, 'status': 'FAILED', 'started_at': '2026-09-08T07:16:46.353019+00:00', 'ended_at': '2026-09-08T07:16:50.497491+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'stale', 'detail': '좌표 획득 실패'}]",max_attempts,2026-09-08 07:16:39.117,2026-09-08 07:16:50.497,FALSE,좌표획득실패
TASK-20260908T062225060390Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:22:45.259470+00:00', 'ended_at': '2026-09-08T06:23:33.782391+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:22:45.259,2026-09-08 06:23:33.782,TRUE,파지 성공 후 떨어뜨림
TASK-20260908T062653244581Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:27:06.565811+00:00', 'ended_at': '2026-09-08T06:27:55.087249+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:27:06.565,2026-09-08 06:27:55.087,TRUE,
TASK-20260908T063104191011Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:32:03.191562+00:00', 'ended_at': '2026-09-08T06:32:49.191946+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:32:03.191,2026-09-08 06:32:49.191,TRUE,
TASK-20260908T063535978796Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:36:59.198141+00:00', 'ended_at': '2026-09-08T06:37:44.495218+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:36:59.198,2026-09-08 06:37:44.495,TRUE,
TASK-20260908T063921355753Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:40:41.198898+00:00', 'ended_at': '2026-09-08T06:41:24.899014+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:40:41.198,2026-09-08 06:41:24.899,TRUE,
TASK-20260908T072024958487Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:21:30.916901+00:00', 'ended_at': '2026-09-08T07:22:13.815017+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:21:30.916,2026-09-08 07:22:13.815,TRUE,
TASK-20260908T072630963561Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:27:27.325355+00:00', 'ended_at': '2026-09-08T07:28:13.114157+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:27:27.325,2026-09-08 07:28:13.114,TRUE,
TASK-20260908T073206626754Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:33:05.816294+00:00', 'ended_at': '2026-09-08T07:33:47.814731+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:33:05.816,2026-09-08 07:33:47.814,TRUE,
TASK-20260908T073716715854Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:38:30.921167+00:00', 'ended_at': '2026-09-08T07:39:16.416744+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:38:30.921,2026-09-08 07:39:16.416,TRUE,
TASK-20260908T074316093491Z,1,수세미,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:44:23.631986+00:00', 'ended_at': '2026-09-08T07:45:09.219442+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:44:23.631,2026-09-08 07:45:09.219,TRUE,
TASK-20260908T075025330164Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:50:40.734130+00:00', 'ended_at': '2026-09-08T07:51:30.325020+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:50:40.734,2026-09-08 07:51:30.325,TRUE,
TASK-20260908T075614673810Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:56:34.214776+00:00', 'ended_at': '2026-09-08T07:57:23.725007+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:56:34.214,2026-09-08 07:57:23.725,FALSE,잘못된객체파지
TASK-20260908T080208052580Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:02:23.140388+00:00', 'ended_at': '2026-09-08T08:03:10.428193+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:02:23.140,2026-09-08 08:03:10.428,TRUE,
TASK-20260908T080759225001Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:08:17.286084+00:00', 'ended_at': '2026-09-08T08:09:03.832060+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:08:17.286,2026-09-08 08:09:03.832,TRUE,
TASK-20260908T081351275574Z,0,수세미,slot_1,FAILED,1,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T08:14:01.786188+00:00', 'ended_at': '2026-09-08T08:14:16.342135+00:00', 'failed_stage': 'PICK', 'error_code': 'pick_failed', 'detail': 'movel failed: result=-1, pose=[545.978855754463, -61.92775592406005, 86.13564833049037, 101.03227233886719, 179.98629760742188, 191.4003448486328]'}]",pick_failed,2026-09-08 08:14:01.786,2026-09-08 08:14:16.342,FALSE,
TASK-20260908T081523653769Z,0,수세미,slot_1,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:15:35.709873+00:00', 'ended_at': '2026-09-08T08:16:24.634059+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:15:35.709,2026-09-08 08:16:24.634,FALSE,파지실패
TASK-20260908T062225060390Z,1,양갱,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:23:33.784597+00:00', 'ended_at': '2026-09-08T06:24:18.383167+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:23:33.784,2026-09-08 06:24:18.383,FALSE,
TASK-20260908T062653244581Z,1,양갱,slot_2,FAILED,2,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T06:27:55.088415+00:00', 'ended_at': '2026-09-08T06:28:02.397744+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'not_detected', 'detail': '좌표 획득 실패'}, {'attempt_no': 2, 'status': 'FAILED', 'started_at': '2026-09-08T06:28:02.398325+00:00', 'ended_at': '2026-09-08T06:28:06.558234+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'not_detected', 'detail': '좌표 획득 실패'}]",max_attempts,2026-09-08 06:27:55.088,2026-09-08 06:28:06.558,FALSE,좌표획득실패
TASK-20260908T063104191011Z,2,양갱,slot_3,FAILED,1,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T06:32:49.194113+00:00', 'ended_at': '2026-09-08T06:32:56.428400+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'out_of_workspace', 'detail': '좌표 획득 실패'}]",out_of_workspace,2026-09-08 06:32:49.194,2026-09-08 06:32:56.428,FALSE,좌표획득실패
TASK-20260908T063535978796Z,2,양갱,slot_3,FAILED,2,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T06:37:44.496194+00:00', 'ended_at': '2026-09-08T06:37:51.755898+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'not_detected', 'detail': '좌표 획득 실패'}, {'attempt_no': 2, 'status': 'FAILED', 'started_at': '2026-09-08T06:37:51.756749+00:00', 'ended_at': '2026-09-08T06:37:55.913535+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'not_detected', 'detail': '좌표 획득 실패'}]",max_attempts,2026-09-08 06:37:44.496,2026-09-08 06:37:55.913,FALSE,
TASK-20260908T063921355753Z,2,양갱,slot_3,FAILED,2,"[{'attempt_no': 1, 'status': 'FAILED', 'started_at': '2026-09-08T06:41:24.901058+00:00', 'ended_at': '2026-09-08T06:41:32.146345+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'not_detected', 'detail': '좌표 획득 실패'}, {'attempt_no': 2, 'status': 'FAILED', 'started_at': '2026-09-08T06:41:32.147132+00:00', 'ended_at': '2026-09-08T06:41:36.318010+00:00', 'failed_stage': 'OBSERVE', 'error_code': 'not_detected', 'detail': '좌표 획득 실패'}]",max_attempts,2026-09-08 06:41:24.901,2026-09-08 06:41:36.318,FALSE,
TASK-20260908T072024958487Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:22:13.816190+00:00', 'ended_at': '2026-09-08T07:22:56.114054+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:22:13.816,2026-09-08 07:22:56.114,TRUE,
TASK-20260908T072630963561Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:28:13.117313+00:00', 'ended_at': '2026-09-08T07:28:55.514771+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:28:13.117,2026-09-08 07:28:55.514,TRUE,
TASK-20260908T073206626754Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:33:47.815664+00:00', 'ended_at': '2026-09-08T07:34:33.315458+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:33:47.815,2026-09-08 07:34:33.315,TRUE,
TASK-20260908T073716715854Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:39:16.417883+00:00', 'ended_at': '2026-09-08T07:40:00.418148+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:39:16.417,2026-09-08 07:40:00.418,TRUE,
TASK-20260908T074316093491Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:45:09.222878+00:00', 'ended_at': '2026-09-08T07:45:54.020411+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:45:09.222,2026-09-08 07:45:54.020,TRUE,
TASK-20260908T075025330164Z,1,양갱,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:51:30.327276+00:00', 'ended_at': '2026-09-08T07:52:14.724180+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:51:30.327,2026-09-08 07:52:14.724,TRUE,
TASK-20260908T075025330164Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:52:14.726898+00:00', 'ended_at': '2026-09-08T07:52:59.433050+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:52:14.726,2026-09-08 07:52:59.433,TRUE,
TASK-20260908T075614673810Z,1,양갱,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:57:23.727333+00:00', 'ended_at': '2026-09-08T07:58:08.225661+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:57:23.727,2026-09-08 07:58:08.225,FALSE,파지실패
TASK-20260908T075614673810Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:58:08.228060+00:00', 'ended_at': '2026-09-08T07:58:51.726080+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:58:08.228,2026-09-08 07:58:51.726,TRUE,
TASK-20260908T080208052580Z,1,양갱,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:03:10.432393+00:00', 'ended_at': '2026-09-08T08:03:54.628069+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:03:10.432,2026-09-08 08:03:54.628,TRUE,
TASK-20260908T080208052580Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:03:54.629349+00:00', 'ended_at': '2026-09-08T08:04:37.828863+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:03:54.629,2026-09-08 08:04:37.828,TRUE,
TASK-20260908T080759225001Z,1,양갱,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:09:03.834375+00:00', 'ended_at': '2026-09-08T08:09:50.730940+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:09:03.834,2026-09-08 08:09:50.730,TRUE,
TASK-20260908T080759225001Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:09:50.732406+00:00', 'ended_at': '2026-09-08T08:10:37.133079+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:09:50.732,2026-09-08 08:10:37.133,TRUE,
TASK-20260908T081523653769Z,1,양갱,slot_2,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:16:24.635745+00:00', 'ended_at': '2026-09-08T08:17:07.335153+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:16:24.635,2026-09-08 08:17:07.335,TRUE,
TASK-20260908T081523653769Z,2,양갱,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T08:17:07.336820+00:00', 'ended_at': '2026-09-08T08:17:52.835009+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 08:17:07.336,2026-09-08 08:17:52.835,TRUE,
TASK-20260908T062225060390Z,2,여행용티슈,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:24:18.386510+00:00', 'ended_at': '2026-09-08T06:24:59.783988+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:24:18.386,2026-09-08 06:24:59.783,FALSE,
TASK-20260908T062653244581Z,2,여행용티슈,slot_3,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:28:06.559170+00:00', 'ended_at': '2026-09-08T06:28:44.586792+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:28:06.559,2026-09-08 06:28:44.586,TRUE,
TASK-20260908T063104191011Z,3,여행용티슈,slot_4,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:32:56.431713+00:00', 'ended_at': '2026-09-08T06:33:38.293041+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:32:56.431,2026-09-08 06:33:38.293,TRUE,
TASK-20260908T063535978796Z,3,여행용티슈,slot_4,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:37:55.915869+00:00', 'ended_at': '2026-09-08T06:38:40.495495+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:37:55.915,2026-09-08 06:38:40.495,TRUE,
TASK-20260908T063921355753Z,3,여행용티슈,slot_4,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:41:36.319509+00:00', 'ended_at': '2026-09-08T06:42:19.997681+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:41:36.319,2026-09-08 06:42:19.997,TRUE,
TASK-20260908T064526000816Z,4,여행용티슈,slot_5,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T06:49:09.904302+00:00', 'ended_at': '2026-09-08T06:49:50.702839+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 06:49:09.904,2026-09-08 06:49:50.702,TRUE,
TASK-20260908T070429730427Z,4,여행용티슈,slot_5,SUCCESS,1,"[{'attempt_no': 1, 'status': 'SUCCESS', 'started_at': '2026-09-08T07:07:43.929500+00:00', 'ended_at': '2026-09-08T07:08:27.119114+00:00', 'failed_stage': '', 'error_code': '', 'detail': ''}]",,2026-09-08 07:07:43.929,2026-09-08 07:08:27.119,TRUE,
